Token,Rendu EN,Rendu FR,Action recommandée,Domaine,Note,Source URL
MAE,M. A. E.,M.A.E.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
MAE-LM,M. A. E. dash L. M.,M.A.E. tiret L.M.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
MAEs,M. A. E. S.,M.A.E.S.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
Mamba,mamba,mamba,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
MAML,M. A. M. L.,M.A.M.L.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
mAP,M. A. P.,M.A.P.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
MAPE,M. A. P. E.,M.A.P.E.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
MCTS,M. C. T. S.,M.C.T.S.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
MDP,M. D. P.,M.D.P.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
METEOR,M. E. T. E. O. R.,M.E.T.E.O.R.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
MHA,M. H. A.,M.H.A.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
Mistral,Mistral,Mistral,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
ML,M. L.,M.L.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
MLP,M. L. P.,M.L.P.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
MMLU-Pro,M. M. L. U. dash P. R. O.,M.M.L.U. tiret P.R.O.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
MMLU-ProX,M. M. L. U. dash P. R. O. X.,M.M.L.U. tiret P.R.O.X.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
MoRA,M. O. R. A.,M.O.R.A.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
MQA,M. Q. A.,M.Q.A.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
MRR,M. R. R.,M.R.R.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
MT,M. T.,M.T.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
MT-Bench,M. T. dash B. E. N. C. H.,M.T. tiret B.E.N.C.H.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
MUSR,M. U. S. R.,M.U.S.R.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
NDCG,N. D. C. G.,N.D.C.G.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
NER,N. E. R.,N.E.R.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
NLG,N. L. G.,N.L.G.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
NLU,N. L. U.,N.L.U.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
NMF,N. M. F.,N.M.F.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
OCR,O. C. R.,O.C.R.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
ODE,O. D. E.,O.D.E.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
ORM,O. R. M.,O.R.M.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
ORPO,O. R. P. O.,O.R.P.O.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
PaLM,palm,palm,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
PCA,P. C. A.,P.C.A.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
PIQA,P. I. Q. A.,P.I.Q.A.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
POMDP,P. O. M. D. P.,P.O.M.D.P.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
POS,P. O. S.,P.O.S.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
PR,P. R.,P.R.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
PRM,P. R. M.,P.R.M.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
QA,Q. A.,Q.A.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
Qwen,Qwen,Qwen,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
R2,R. two,R. two,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
RAFT,R. A. F. T.,R.A.F.T.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
RAI,R. A. I.,R.A.I.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
ReFT,R. E. F. T.,R.E.F.T.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
ReLoRA,R. E. L. O. R. A.,R.E.L.O.R.A.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
ReLU,R. E. L. U.,R.E.L.U.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
RETRO,retro,retro,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
RL,R. L.,R.L.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
RLAIF,R. L. A. I. F.,R.L.A.I.F.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
RLVR,R. L. V. R.,R.L.V.R.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
RM,R. M.,R.M.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
RMSE,R. M. S. E.,R.M.S.E.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
RMSNorm,R. M. S. N. O. R. M.,R.M.S.N.O.R.M.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
RNN,R. N. N.,R.N.N.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
RoBERTa,R. O. B. E. R. T. A.,R.O.B.E.R.T.A.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
ROC,R. O. C.,R.O.C.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
RoPE,R. O. P. E.,R.O.P.E.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
ROUGE,R. O. U. G. E.,R.O.U.G.E.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
RRHF,R. R. H. F.,R.R.H.F.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
RWKV,R. W. K. V.,R.W.K.V.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
S4,S. four,S. four,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
SAC,S. A. C.,S.A.C.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
SAM,S. A. M.,S.A.M.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
SBERT,S. B. E. R. T.,S.B.E.R.T.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
SDE,S. D. E.,S.D.E.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
SentenceBERT,S. E. N. T. E. N. C. E. B. E. R. T.,S.E.N.T.E.N.C.E.B.E.R.T.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
SGD,S. G. D.,S.G.D.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
SiLU,S. I. L. U.,S.I.L.U.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
SIQA,S. I. Q. A.,S.I.Q.A.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
SQuAD2,S. Q. U. A. D. two,S.Q.U.A.D. two,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
SSM,S. S. M.,S.S.M.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
SuperGLUE,S. U. P. E. R. G. L. U. E.,S.U.P.E.R.G.L.U.E.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
SVM,S. V. M.,S.V.M.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
SwiGLU,S. W. I. G. L. U.,S.W.I.G.L.U.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
t-SNE,T. dash S. N. E.,T. tiret S.N.E.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
T5,T. five,T. five,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
TAI,T. A. I.,T.A.I.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
TD3,T. D. three,T.D. three,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
TinyML,T. I. N. Y. M. L.,T.I.N.Y.M.L.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
TRPO,T. R. P. O.,T.R.P.O.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
TruthfulQA,T. R. U. T. H. F. U. L. Q. A.,T.R.U.T.H.F.U.L.Q.A.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
TTS,T. T. S.,T.T.S.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
UCB,U. C. B.,U.C.B.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
UMAP,U. M. A. P.,U.M.A.P.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
VAE,V. A. E.,V.A.E.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
VLM,V. L. M.,V.L.M.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
VQA,V. Q. A.,V.Q.A.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
VQGAN,V. Q. G. A. N.,V.Q.G.A.N.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
VQVAE,V. Q. V. A. E.,V.Q.V.A.E.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
WER,W. E. R.,W.E.R.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
Whisper,Whisper,Whisper,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
Winograd,W. I. N. O. G. R. A. D.,W.I.N.O.G.R.A.D.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
WinoGrande,W. I. N. O. G. R. A. N. D. E.,W.I.N.O.G.R.A.N.D.E.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
Word2Vec,word two vec,word two vec,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
XAI,X. A. I.,X.A.I.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
XGBoost,X. G. boost,X.G. boost,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
XLNet,X. L. N. E. T.,X.L.N.E.T.,SPELL_OUT_COMMON,AI/ML,,https://airc.nist.gov/glossary/
5G,five G.,five G.,SPELL_OUT_COMMON,Cloud,,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary
6G,six G.,six G.,SPELL_OUT_COMMON,Cloud,,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary
Accelerate,A. C. C. E. L. E. R. A. T. E.,A.C.C.E.L.E.R.A.T.E.,SPELL_OUT_COMMON,Cloud,,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary
ACID,A. C. I. D.,A.C.I.D.,SPELL_OUT_COMMON,Cloud,,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary
ACM,A. C. M.,A.C.M.,SPELL_OUT_COMMON,Cloud,,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary
AES,A. E. S.,A.E.S.,SPELL_OUT_COMMON,Cloud,,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary
AIOps,A. I. Ops,é-aï-ops,SPELL_OUT_COMMON,Cloud,,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary
Airflow,Airflow,Airflow,SPELL_OUT_COMMON,Cloud,,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary
AKS,A. K. S.,A.K.S.,SPELL_OUT_COMMON,Cloud,,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary
ALB,A. L. B.,A.L.B.,SPELL_OUT_COMMON,Cloud,,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary
Ansible,Ansible,Ansible,SPELL_OUT_COMMON,Cloud,,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary
AOT,A. O. T.,A.O.T.,SPELL_OUT_COMMON,Cloud,,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary
APT,A. P. T.,A.P.T.,SPELL_OUT_COMMON,Cloud,,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary
Argo,Argo,Argo,SPELL_OUT_COMMON,Cloud,,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary
Argon2,A. R. G. O. N. two,A.R.G.O.N. two,SPELL_OUT_COMMON,Cloud,,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary
ASCII,ask-ee,as-ki,SPELL_OUT_COMMON,Cloud,,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary
Aurora,A. U. R. O. R. A.,A.U.R.O.R.A.,SPELL_OUT_COMMON,Cloud,,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary
Avro,Avro,Avro,SPELL_OUT_COMMON,Cloud,,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary
BaaS,B. A. A. S.,B.A.A.S.,SPELL_OUT_COMMON,Cloud,,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary
BASE,B. A. S. E.,B.A.S.E.,SPELL_OUT_COMMON,Cloud,,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary
BEC,B. E. C.,B.E.C.,SPELL_OUT_COMMON,Cloud,,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary
BECs,B. E. C. S.,B.E.C.S.,SPELL_OUT_COMMON,Cloud,,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary
Bedrock,B. E. D. R. O. C. K.,B.E.D.R.O.C.K.,SPELL_OUT_COMMON,Cloud,,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary
BGP,B. G. P.,B.G.P.,SPELL_OUT_COMMON,Cloud,,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary
BI,B. I.,B.I.,SPELL_OUT_COMMON,Cloud,,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary
BigQuery,B. I. G. Q. U. E. R. Y.,B.I.G.Q.U.E.R.Y.,SPELL_OUT_COMMON,Cloud,,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary
BIMI,B. I. M. I.,B.I.M.I.,SPELL_OUT_COMMON,Cloud,,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary
bitsandbytes,B. I. T. S. A. N. D. B. Y. T. E. S.,B.I.T.S.A.N.D.B.Y.T.E.S.,SPELL_OUT_COMMON,Cloud,,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary
BLOB,B. L. O. B.,B.L.O.B.,SPELL_OUT_COMMON,Cloud,,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary
BOM,B. O. M.,B.O.M.,SPELL_OUT_COMMON,Cloud,,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary
